Date,Sport,Event,Bet Type,Line,Side,Odds,Odds Decimal,Stake,Win Probability,DTM,Result,Has Results,Predicted Value,Stat Value
2026-08-05,WNBA,Alyssa Thomas,Total Points Plus Assists,23.5,over,-120,1.83,5,52.72,-4.02,,FALSE,26.27,
2026-08-05,WNBA,Allisha Gray,Total Rebounds Plus Assists,5.5,over,102,2.02,5,55.44,11.75,,FALSE,5.88,
2026-08-05,WNBA,Rhyne Howard,Total Rebounds Plus Assists,6.5,over,-148,1.68,5,59.8,0.3,,FALSE,6.99,
2026-08-05,WNBA,Jordin Canada,Total Rebounds Plus Assists,12.5,under,-138,1.72,5,62.11,9.82,,FALSE,10.77,
2026-08-05,WNBA,Kahleah Copper,Total Rebounds Plus Assists,5.5,over,105,2.05,5,54.91,11.96,,FALSE,5.68,
2026-08-05,WNBA,Kelsey Plum,Total Rebounds Plus Assists,6.5,over,-121,1.83,5,61.53,14.98,,FALSE,8.29,
2026-08-05,WNBA,Alyssa Thomas,Total Rebounds Plus Assists,16.5,over,-110,1.91,5,52.44,0.12,,FALSE,16.82,
2026-08-05,WNBA,DeWanna Bonner,Total Rebounds Plus Assists,8.5,under,-123,1.81,5,49.94,-11.63,,FALSE,8.23,
2026-08-05,WNBA,Brionna Jones,Total Points Plus Assists Plus Rebounds,18.5,over,-120,1.83,5,55.22,1.49,,FALSE,19.98,
2026-08-05,WNBA,Angel Reese,Total Points Plus Assists Plus Rebounds,30.5,over,-112,1.89,5,51.53,-2.76,,FALSE,32.29,
2026-08-05,WNBA,Jordin Canada,Total Points Plus Assists Plus Rebounds,22.5,under,-104,1.96,5,48.78,-4.5,,FALSE,22.31,
2026-08-05,WNBA,Allisha Gray,Total Points Plus Assists Plus Rebounds,24.5,under,-125,1.8,5,52.72,-6.37,,FALSE,22.96,
2026-08-05,WNBA,Rhyne Howard,Total Points Plus Assists Plus Rebounds,24.5,under,-125,1.8,5,56.55,2.24,,FALSE,22.17,
2026-08-05,WNBA,Kahleah Copper,Total Points Plus Assists Plus Rebounds,26.5,over,-114,1.88,5,52.56,-1.51,,FALSE,27.07,
2026-08-05,WNBA,Kelsey Plum,Total Points Plus Assists Plus Rebounds,23.5,over,-104,1.96,5,54.23,6.62,,FALSE,25.42,
2026-08-05,WNBA,Alyssa Thomas,Total Points Plus Assists Plus Rebounds,31.5,over,-125,1.8,5,57.44,4.25,,FALSE,34.24,
2026-08-05,WNBA,DeWanna Bonner,Total Points Plus Assists Plus Rebounds,19.5,under,-117,1.85,5,54.04,0.27,,FALSE,18.42,
2026-08-05,WNBA,Jordin Canada,Total Points,10.5,over,-108,1.93,5,54.87,6.13,,FALSE,12.78,
2026-08-05,WNBA,Brionna Jones,Total Points,10.5,over,-115,1.87,5,52.8,-1.49,,FALSE,11.54,
2026-08-05,WNBA,Allisha Gray,Total Points,18.5,under,-113,1.88,5,56.76,7.9,,FALSE,16.23,
2026-08-05,WNBA,Rhyne Howard,Total Points,17.5,under,-128,1.78,5,58.39,5.14,,FALSE,15.14,
2026-08-05,WNBA,Angel Reese,Total Points,15.5,under,-113,1.88,5,53.05,0,,FALSE,15.49,
2026-08-05,WNBA,Kahleah Copper,Total Points,20.5,over,-125,1.8,5,48.36,-16.2,,FALSE,22.61,
2026-08-05,WNBA,Alyssa Thomas,Total Points,15.5,over,-102,1.98,5,50.76,0.53,,FALSE,17.62,
2026-08-05,WNBA,DeWanna Bonner,Total Points,10.5,under,-106,1.94,5,48.36,-6.38,,FALSE,10.26,
2026-08-05,WNBA,Natasha Mack,Total Points,7.5,under,-132,1.76,5,57.54,1.49,,FALSE,5.32,
2026-08-05,WNBA,Kelsey Plum,Total Points,16.5,under,-132,1.76,5,57.53,1.47,,FALSE,16.36,
2026-08-05,WNBA,Allisha Gray,Total Three-Pointers Made,1.5,over,-132,1.76,5,49.19,-17.88,,FALSE,1.63,
2026-08-05,WNBA,Rhyne Howard,Total Three-Pointers Made,3.5,under,-178,1.56,5,58.32,-15.88,,FALSE,3.17,
2026-08-05,WNBA,DeWanna Bonner,Total Three-Pointers Made,1.5,over,118,2.18,5,46.52,1.2,,FALSE,1.61,
2026-08-05,WNBA,Kelsey Plum,Total Three-Pointers Made,1.5,over,-160,1.62,5,57.67,-10.06,,FALSE,2.12,
2026-08-05,WNBA,Kahleah Copper,Total Three-Pointers Made,2.5,under,-215,1.47,5,68.15,-0.33,,FALSE,2.02,
2026-08-05,WNBA,Jordin Canada,Total Rebounds,3.5,over,-102,1.98,5,51.14,1.29,,FALSE,3.69,
2026-08-05,WNBA,Brionna Jones,Total Rebounds,5.5,over,-158,1.63,5,56.5,-12.24,,FALSE,6.27,
2026-08-05,WNBA,Allisha Gray,Total Rebounds,3.5,under,-192,1.52,5,55.85,-28.9,,FALSE,3.44,
2026-08-05,WNBA,Rhyne Howard,Total Rebounds,3.5,under,-140,1.71,5,50.76,-18.17,,FALSE,3.27,
2026-08-05,WNBA,Angel Reese,Total Rebounds,12.5,under,-152,1.66,5,53.2,-17.93,,FALSE,12.18,
2026-08-05,WNBA,Kahleah Copper,Total Rebounds,3.5,over,102,2.02,5,50.27,1.51,,FALSE,3.93,
2026-08-05,WNBA,Natasha Mack,Total Rebounds,4.5,over,118,2.18,5,49.9,7.45,,FALSE,5.81,
2026-08-05,WNBA,Alyssa Thomas,Total Rebounds,8.5,over,118,2.18,5,46.41,0.99,,FALSE,9.43,
2026-08-05,WNBA,DeWanna Bonner,Total Rebounds,6.5,under,-122,1.82,5,56.11,2.58,,FALSE,6.14,
2026-08-05,WNBA,Allisha Gray,Total Assists,2.5,over,124,2.24,5,47.29,4.77,,FALSE,2.6,
